dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/app/%5Blocale%5D/layout-e8c676bd7053bccc.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/app/%5Blocale%5D/error-296b8f90facd74b8.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/4826-151a9a8e2ca2d338.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/app/%5Blocale%5D/not-found-e1d6cb57b80d9434.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/483-db7c157aebd445b6.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/3365-bc87f52774860ad4.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/6641-3334108576302eb0.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/4620-1f60d428128528ae.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp25-2.jpg&w=96&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/8287-da04bb3998525690.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/7003-aa9e9188f61fd2ec.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/app/%5Blocale%5D/(root)/product/%5Bslug%5D/page-881225d76c33211d.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/app/%5Blocale%5D/(auth)/layout-1b61e4f5e3f162aa.js net::ERR_ABORTED 404 (Not Found)
